SMILES,Y_x
CN(C)C(=N)N=C(N)N,0
COC(=O)C=CC(=O)O,0
O=C(O)C=Cc1ccccc1,0
Cc1ccc(C(C)C)cc1O,0
COc1ccc(C(=O)O)cc1,0
CC(C)=CCCC(C)=CCO,0
CCCCCCCCCC=O,0
CC1CCc2c(C=O)cncc21,0
COc1ccccc1C=CC=O,0
C=CCSS(=O)CC=C,0
COc1ccc(C(C)=O)c(O)c1,0
Cc1cc2ccc(=O)oc2cc1C,0
CCNC(=O)CCC(N)C(=O)O,0
O=CC(O)C1OC(=O)C(O)C1O,0
O=c1ccc2cc(O)c(O)cc2o1,0
COC(=O)C=Cc1ccc(O)cc1,0
CCCC=C1OC(=O)c2ccccc21,0
COc1ccc2c(c1)OC(C)(C)C=C2,0
COc1cc2ccc(=O)oc2cc1O,0
COc1cc(C=CC(=O)O)ccc1O,0
CC=C1CNC(O)C2=C1CCOC2=O,0
O=Cc1ccc(O)n1CCCC(=O)O,0
O=C(O)C(O)Cc1ccc(O)c(O)c1,0
CCOC(=O)c1cc(O)c(O)c(O)c1,0
CC1(O)CC(O)C2(O)CC(=O)OCC12,0
OC1C2CCOC3OCC(O)(C1O)C32,0
Cc1ccc2c(c1)C(C(C)C)CCC2C,0
C=C1CCC=C(C)CCC2C1CC2(C)C,0
C=C(C)C1CCC2=CCCC(C)C2(C)C1,0
C=CC1(C)CCC(C(=C)C)CC1C(=C)C,0
CC(C)C1CCC2(C)CCCC(C)C2C1,0
OCC1C(O)C(O)C(O)C(O)C1O,0
COc1cc2ccc(=O)oc2c(OC)c1O,0
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,0
C=C1C(=O)OC2C=C(C)CCC=C(C)CCC12,0
C=C(C)C1CCC(C)C2(O)CC(=O)C(C)=C2C1,0
CC1(C)CC2C1CCC1(C)CC2(O)CCC1O,0
O=C(O)c1cccc(-c2ccccc2)c1C(=O)O,0
C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,0
Cc1c(O)c2c(c(C)c1CCO)C(=O)C(C)(C)C2,0
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,0
O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,0
O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,0
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1
CC1=CCCC23OC2C(OC3=O)c2c(C)coc2C1,0
O=C1CC(OC2OC(CO)C(O)C(O)C2O)CO1,0
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,0
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,1
COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,0
COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2cc1O,0
CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,0
OCc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,0
COc1cc2c(cc1O)OC1c3ccc(O)cc3OCC21,0
CCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,0
CC1=CC=C(C(C)C)CCC(C=O)=CCCC(C)=CCC1,0
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,0
CC(=O)OC(C)(C)C1Cc2cc3ccc(=O)oc3cc2O1,0
CC1=CCCC(C)=CC(O)C(C(C)C)CCC(C)=CCC1,0
CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,0
CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0
CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,0
CC(=CCO)CCCC(C)CCCC(C)CCCC(C)C,0
CN1C(=O)C(O)C(c2ccccc2)C1C(O)c1ccccc1,0
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,1
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0
COc1cc(CCc2cc(OC)c(O)c(OC)c2)ccc1O,0
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,0
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,0
COc1cc2c(cc1OC)C(Cc1ccc(O)cc1)N(C)CC2,0
COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,0
COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1,0
COc1c(O)cc2oc(Oc3ccc(O)cc3)cc(=O)c2c1O,0
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0
COc1cc(C=CC(=O)N2CCC=CC2=O)cc(OC)c1OC,0
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,0
COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)cc1O,0
CC(C)=CC(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C,0
COc1c(O)cc2c(c1O)C(=O)c1c(cc(C)c(O)c1OC)C2=O,0
COc1cc(O)c2c(=O)c(O)c(-c3ccc(OC)c(O)c3)oc2c1,0
COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,0
CC(C)=CCOc1ccc(CCNC(=O)C=Cc2ccccc2)cc1,0
Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,0
O=c1ccc2c3c(c(O)cc2o1)CC(O)C(c1ccc(O)c(O)c1)O3,0
OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12,0
C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OC=C1O,0
